Name,Where born,Whence appointed,Post-office,Compensation per annum,State,Postmaster
George A. Bateson,Ohio,Ohio,Kenton,p. d. $100,Ohio,0
Miss Laura A. Pool,do,do,do,p. w. 500,Ohio,0
Michael Effinger,do,do,do,$30000,Ohio,0
John E. Hart,do,do,Leetonia,$60000,Ohio,0
William Owen,Wales,do,Lima,$75000,Ohio,0
George B. Holland,Ohio,do,do,$60000,Ohio,0
Henry Foltz,do,do,do,$50000,Ohio,0
Mrs. M. B. Waldorf,do,do,do,$40000,Ohio,0
George F. Work,do,do,Logan,$30000,Ohio,0
Frank Bowers,do,do,do,$30000,Ohio,0
Frank Wood,do,do,do,p. d. 100,Ohio,0
Carlton Henry,do,do,do,p. d. 100,Ohio,0
A. W. Rich,Pennsylvania,do,Loveland,$10000,Ohio,0
A. N. Rich,Ohio,do,Loveland,$10000,Ohio,0
Milton W. McFarland,do,do,Mansfield,$60000,Ohio,0
George Shisler,do,do,do,$54000,Ohio,0
Michael A. Kline,Pennsylvania,do,do,$54000,Ohio,0
Miss Mary A. Monroe,Ohio,do,do,$42000,Ohio,0
J. H. Knisely,do,do,do,$42000,Ohio,0
Charles A. Faires,do,do,do,$42000,Ohio,0
E. Chase Rinehart,do,do,do,$42000,Ohio,0
Miss Jennie Endsley,Illinois,do,do,$31200,Ohio,0
Laura E. Bowen,Ohio,do,do,$31200,Ohio,0
Mrs. Isetta Clark,do,do,Martin's Ferry,$19200,Ohio,0
Eliza Sweeney,do,do,do,$19200,Ohio,0
David P. Merwin,do,do,Massillon,$80000,Ohio,0
Valentine R. King,Pennsylvania,do,do,$50000,Ohio,0
Miss Jennie Sherwood,Ohio,do,do,$30000,Ohio,0
C. H. Kimbell,do,do,Medina,p. w. 800,Ohio,0
Miss Eva Nettleton,do,do,do,p. w. 1200,Ohio,0
Herman Reinheimer,do,do,Miamisburgh,$20000,Ohio,0
John R. Beachler,do,do,do,$15000,Ohio,0
Frank Barrett,do,do,Middletown,$30000,Ohio,0
Miss Jennie Sutphin,do,do,Milford,$30000,Ohio,0
Miss Cora M. Rogers,Ohio,do,do,$26000,Ohio,0
Miss Fannie E. Boyer,do,do,Milford,$18000,Ohio,0
Edward H. Harding,do,do,do,$18000,Ohio,0
Miss Anna Buele,Ohio,do,Monroeville,$26800,Ohio,0
Edward M. McMillin,do,do,do,$31200,Ohio,0
J. J. Fay,New York,do,Mount Vernon,$30000,Ohio,0
Fred. R. Pickard,Ohio,do,do,$26000,Ohio,0
Dwight Curtis,do,do,do,$26000,Ohio,0
Miss Ella M. Ewers,do,do,Napoleon,$30000,Ohio,0
William L. Funke,do,do,do,$26000,Ohio,0
Wade Knight,do,do,do,$24000,Ohio,0
Oscar Harding,do,do,Newark,$60000,Ohio,0
Daniel H. Nash,Ohio,do,do,$42000,Ohio,0
Frank B. Sansom,do,do,do,$30000,Ohio,0
Miss Jennie Myers,do,do,do,$30000,Ohio,0
Miss Ellen Neighbor,do,do,Newcomerstown,$10000,Ohio,0
Miss Emma McMahon,do,do,New Lexington,p. d. 125,Ohio,0
George H. Pyle,do,do,do,p. d. 125,Ohio,0
Mrs. Martha L. Daily,do,do,New Lisbon,$30000,Ohio,0
Miss Carrie Shields,do,do,do,$30000,Ohio,0
Miss Ella Nesbitt,do,do,New Portage,p. m. 4000,Ohio,0
E. Sargent,do,do,New Philadelphia,p. m. 4000,Ohio,0
John R. McMurchy,do,do,New Richmond,$30000,Ohio,0
Henry Pemberton,do,do,New Vienna,$30000,Ohio,0
H. H. Mace,do,do,Niles,$30000,Ohio,0
Charles M. Hinckley,do,do,Norwalk,$30000,Ohio,0
John H. Peasley,do,do,do,$30000,Ohio,0
Sallie Armstrong,Missouri,do,do,$30000,Ohio,0
Jennie Armstrong,Ohio,do,do,$18000,Ohio,0
David J. Piper,do,do,Oak Harbor,$30000,Ohio,0
William F. M. Gilbert,Vermont,do,Oberlin,$18000,Ohio,0
Miss Carrie H. Paige,Ohio,do,do,$18000,Ohio,0
C. W. Sears,do,do,Orrville,$30000,Ohio,0
Clarence P. Elrey,do,do,Owensville,$30000,Ohio,0
William M. Bradon,do,do,do,$42000,Ohio,0
Mrs. H. A. Sharp,do,do,Painesville,$46800,Ohio,0
O. T. Hutchinson,West Virginia,do,do,$46800,Ohio,0
E. A. Barrett,Ohio,do,do,$46800,Ohio,0
G. M. Cranston,do,do,do,p. d. 200,Ohio,0
C. Keller,do,do,do,$5000,Ohio,0
J. T. Miller,do,do,Perrin's Mills,$6000,Ohio,0
W. B. Jordan,do,do,Piqua,$54000,Ohio,0
James Pepper,do,do,do,$54000,Ohio,0
Miss Mary E. Mansell,do,do,do,$24000,Ohio,0
David Collier,do,do,Plimpton,$7500,Ohio,0
Miss Emma Foster,do,do,Pomeroy,p. d. 100,Ohio,0
Miss Mary Remley,do,do,do,p. d. 100,Ohio,0
Charles C. Damarin,do,do,Portsmouth,$72000,Ohio,0
William H. Ware,do,do,do,$72000,Ohio,0
Milton Kendall,do,do,do,$36000,Ohio,0
Harry L. Ware,do,do,do,$36000,Ohio,0
John Gallencamp,Germany,do,do,$7500,Ohio,0
Miss M. A. Smiley,Ohio,do,Quaker City,$7500,Ohio,0
